source_id,category,store_name,main_menu,price,road_address,district,latitude,longitude,image_url_1,image_url_2,image_url_3
15,KOREAN,먹고갈래지고갈래,삼계탕,16000.0,서울특별시 종로구 수표로 117 (낙원동),종로구,37.5717755006791,126.988906023959,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/11c02cd1-b33e-42d9-b683-4aabf2c54c63.png,,
16,KOREAN,백제고기집,육회(500g),42000.0,서울특별시 종로구 종로35길 31 (효제동) 1층,종로구,37.5726136194676,127.003688034186,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/1c19fa05-cbb2-4892-bc7f-835bdcad0e77.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8688fedd-8678-4e0f-b72a-1b44db376614.jpeg,
17,KOREAN,복코돼지,김치찌개(점심),8000.0,서울특별시 종로구 종로 232 (종로5가) 1층,종로구,37.5707627999585,127.00353275048,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8900417b-3634-407c-a73e-e84a6fbc63c9.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/da0b359b-eb4f-40b4-86ec-77ee296e6b39.jpeg,
18,KOREAN,불백당,고추장불백,5500.0,서울특별시 종로구 우정국로2길 34 (관철동) 1층,종로구,37.5694595040515,126.984945123988,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/49eaa3be-716d-4186-b248-2a5d403bcccf.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/35f5756a-810d-4351-aa61-9a1841071d92.jpg,
19,ETC,사직로커피,아메리카노,3500.0,서울특별시 종로구 사직로 108 (내자동) 1층,종로구,37.5758486533993,126.970646596999,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/909d3ccf-96a6-485a-9dfe-b5a4a1090f2a.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/9d86d5c7-47a6-4874-9430-574e378d4ab7.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/2d97a507-e7db-4790-974b-b9bc3d7c7cac.jpg
20,KOREAN,삼삼 뚝배기,된장뚝배기,7500.0,서울특별시 종로구 동숭길 51 (동숭동),종로구,37.5805564090189,127.004190744723,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8246173e-b0d7-45c8-a032-63991f4e0dc2.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/9bb2a875-803d-4ab9-bee1-7cd9bfc1ba07.jpg,
21,ETC,샐러드하우스,에그듬뿍샌드위치,5500.0,서울특별시 종로구 새문안로5가길 28 (적선동) 지하1층 119호,종로구,37.574460196686,126.973597076089,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/fa2dd54a-0656-4a30-99ec-acc7d67fab6c.jpg,,
22,KOREAN,서울식당,백반,8000.0,서울특별시 종로구 창신길 50 (창신동) 1층,종로구,37.5738362027887,127.010698756801,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/7d13b582-87b3-4681-ad06-44b6605e6660.jpg,,
23,KOREAN,서울풍경,서울풍경정식(제육뚝불고등어조림된장찌개)(점심2인이상),16000.0,서울특별시 종로구 북촌로5길 39 (화동) 1층,종로구,37.5793376128612,126.982701926649,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/9f8b04fa-e6f3-460b-92b0-cff24256d628.jpeg,,
24,ETC,세종커피,아메리카노,2700.0,서울특별시 종로구 세종대로23길 54 (당주동) 지하1층 26호,종로구,37.5718394925759,126.973284555591,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/7cad62e5-7cb7-4e13-bca5-1f85741c20e3.jpeg,,
